bin_start_sec,class,avg_count_per_frame
0.0,car,3.0714285714285716
0.0,class_5,1.4
0.0,class_7,1.3333333333333333
0.0,truck,5.85
60.0,car,2.1666666666666665
60.0,class_5,1.4
60.0,class_7,1.6666666666666667
60.0,truck,3.9
120.0,car,2.0
120.0,class_5,1.1666666666666667
120.0,class_7,1.0
120.0,class_9,1.0
120.0,truck,8.35
180.0,car,1.4615384615384615
180.0,class_7,1.0
180.0,class_9,1.0
180.0,truck,8.1
240.0,car,2.857142857142857
240.0,class_5,1.1666666666666667
240.0,class_7,1.0
240.0,class_9,1.0
240.0,truck,5.15
300.0,car,1.6842105263157894
300.0,class_5,1.2857142857142858
300.0,class_7,1.0
300.0,class_9,1.0
300.0,truck,6.95
360.0,car,1.25
360.0,class_5,1.0
360.0,truck,4.75
420.0,car,1.0
420.0,class_5,1.0
420.0,class_9,1.0
420.0,truck,6.0
480.0,car,1.0
480.0,truck,2.5
