time_sec,frame_index,event,count_line_id,track_id,class,entry_zone,exit_zone,queue_zone_id,queue_count
0.0,0,queue_snapshot,,,,,,S_queue,2.0
0.0,0,queue_snapshot,,,,,,E_queue,0.0
0.0,0,queue_snapshot,,,,,,N_queue,0.0
0.0,0,queue_snapshot,,,,,,W_queue,0.0
0.0,0,class_snapshot,,,truck,,,,4.0
0.0,0,class_snapshot,,,car,,,,6.0
3.0,1,queue_snapshot,,,,,,S_queue,0.0
3.0,1,queue_snapshot,,,,,,E_queue,0.0
3.0,1,queue_snapshot,,,,,,N_queue,0.0
3.0,1,queue_snapshot,,,,,,W_queue,0.0
3.0,1,class_snapshot,,,car,,,,3.0
3.0,1,class_snapshot,,,truck,,,,5.0
3.0,1,class_snapshot,,,class_5,,,,1.0
6.0,2,queue_snapshot,,,,,,S_queue,1.0
6.0,2,queue_snapshot,,,,,,E_queue,0.0
6.0,2,queue_snapshot,,,,,,N_queue,0.0
6.0,2,queue_snapshot,,,,,,W_queue,0.0
6.0,2,class_snapshot,,,car,,,,3.0
6.0,2,class_snapshot,,,truck,,,,8.0
6.0,2,class_snapshot,,,class_5,,,,1.0
9.0,3,queue_snapshot,,,,,,S_queue,2.0
9.0,3,queue_snapshot,,,,,,E_queue,0.0
9.0,3,queue_snapshot,,,,,,N_queue,0.0
9.0,3,queue_snapshot,,,,,,W_queue,0.0
9.0,3,class_snapshot,,,truck,,,,6.0
9.0,3,class_snapshot,,,car,,,,4.0
9.0,3,class_snapshot,,,class_5,,,,2.0
12.0,4,queue_snapshot,,,,,,S_queue,0.0
12.0,4,queue_snapshot,,,,,,E_queue,0.0
12.0,4,queue_snapshot,,,,,,N_queue,0.0
12.0,4,queue_snapshot,,,,,,W_queue,0.0
12.0,4,class_snapshot,,,truck,,,,5.0
12.0,4,class_snapshot,,,car,,,,3.0
12.0,4,class_snapshot,,,class_5,,,,3.0
15.0,5,queue_snapshot,,,,,,S_queue,0.0
15.0,5,queue_snapshot,,,,,,E_queue,0.0
15.0,5,queue_snapshot,,,,,,N_queue,0.0
15.0,5,queue_snapshot,,,,,,W_queue,0.0
15.0,5,class_snapshot,,,truck,,,,7.0
15.0,5,class_snapshot,,,class_5,,,,2.0
18.0,6,queue_snapshot,,,,,,S_queue,1.0
18.0,6,queue_snapshot,,,,,,E_queue,0.0
18.0,6,queue_snapshot,,,,,,N_queue,2.0
18.0,6,queue_snapshot,,,,,,W_queue,0.0
18.0,6,class_snapshot,,,truck,,,,10.0
21.0,7,queue_snapshot,,,,,,S_queue,1.0
21.0,7,queue_snapshot,,,,,,E_queue,0.0
21.0,7,queue_snapshot,,,,,,N_queue,2.0
21.0,7,queue_snapshot,,,,,,W_queue,0.0
21.0,7,class_snapshot,,,truck,,,,10.0
21.0,7,class_snapshot,,,class_5,,,,1.0
21.0,7,class_snapshot,,,car,,,,1.0
24.0,8,queue_snapshot,,,,,,S_queue,0.0
24.0,8,queue_snapshot,,,,,,E_queue,0.0
24.0,8,queue_snapshot,,,,,,N_queue,0.0
24.0,8,queue_snapshot,,,,,,W_queue,0.0
24.0,8,class_snapshot,,,truck,,,,8.0
24.0,8,class_snapshot,,,class_5,,,,1.0
27.0,9,queue_snapshot,,,,,,S_queue,1.0
27.0,9,queue_snapshot,,,,,,E_queue,0.0
27.0,9,queue_snapshot,,,,,,N_queue,0.0
27.0,9,queue_snapshot,,,,,,W_queue,0.0
27.0,9,class_snapshot,,,truck,,,,9.0
27.0,9,class_snapshot,,,class_5,,,,1.0
30.0,10,queue_snapshot,,,,,,S_queue,0.0
30.0,10,queue_snapshot,,,,,,E_queue,0.0
30.0,10,queue_snapshot,,,,,,N_queue,0.0
30.0,10,queue_snapshot,,,,,,W_queue,1.0
30.0,10,class_snapshot,,,truck,,,,7.0
30.0,10,class_snapshot,,,class_5,,,,1.0
33.0,11,queue_snapshot,,,,,,S_queue,0.0
33.0,11,queue_snapshot,,,,,,E_queue,0.0
33.0,11,queue_snapshot,,,,,,N_queue,0.0
33.0,11,queue_snapshot,,,,,,W_queue,1.0
33.0,11,class_snapshot,,,truck,,,,7.0
36.0,12,queue_snapshot,,,,,,S_queue,2.0
36.0,12,queue_snapshot,,,,,,E_queue,0.0
36.0,12,queue_snapshot,,,,,,N_queue,0.0
36.0,12,queue_snapshot,,,,,,W_queue,0.0
36.0,12,class_snapshot,,,car,,,,3.0
36.0,12,class_snapshot,,,truck,,,,4.0
39.0,13,queue_snapshot,,,,,,S_queue,0.0
39.0,13,queue_snapshot,,,,,,E_queue,0.0
39.0,13,queue_snapshot,,,,,,N_queue,0.0
39.0,13,queue_snapshot,,,,,,W_queue,0.0
39.0,13,class_snapshot,,,car,,,,3.0
39.0,13,class_snapshot,,,truck,,,,2.0
42.0,14,queue_snapshot,,,,,,S_queue,0.0
42.0,14,queue_snapshot,,,,,,E_queue,0.0
42.0,14,queue_snapshot,,,,,,N_queue,0.0
42.0,14,queue_snapshot,,,,,,W_queue,0.0
42.0,14,class_snapshot,,,car,,,,3.0
42.0,14,class_snapshot,,,truck,,,,4.0
42.0,14,class_snapshot,,,class_7,,,,1.0
42.0,14,class_snapshot,,,class_5,,,,1.0
45.0,15,flow_cross,W_in,35.0,truck,,,,
45.0,15,queue_snapshot,,,,,,S_queue,0.0
45.0,15,queue_snapshot,,,,,,E_queue,0.0
45.0,15,queue_snapshot,,,,,,N_queue,0.0
45.0,15,queue_snapshot,,,,,,W_queue,1.0
45.0,15,class_snapshot,,,truck,,,,5.0
45.0,15,class_snapshot,,,car,,,,2.0
45.0,15,class_snapshot,,,class_7,,,,1.0
48.0,16,queue_snapshot,,,,,,S_queue,1.0
48.0,16,queue_snapshot,,,,,,E_queue,0.0
48.0,16,queue_snapshot,,,,,,N_queue,0.0
48.0,16,queue_snapshot,,,,,,W_queue,0.0
48.0,16,class_snapshot,,,car,,,,3.0
48.0,16,class_snapshot,,,class_7,,,,2.0
48.0,16,class_snapshot,,,truck,,,,2.0
51.0,17,flow_cross,E_in,44.0,truck,,,,
51.0,17,queue_snapshot,,,,,,S_queue,0.0
51.0,17,queue_snapshot,,,,,,E_queue,0.0
51.0,17,queue_snapshot,,,,,,N_queue,0.0
51.0,17,queue_snapshot,,,,,,W_queue,1.0
51.0,17,class_snapshot,,,car,,,,3.0
51.0,17,class_snapshot,,,truck,,,,4.0
54.0,18,queue_snapshot,,,,,,S_queue,0.0
54.0,18,queue_snapshot,,,,,,E_queue,0.0
54.0,18,queue_snapshot,,,,,,N_queue,0.0
54.0,18,queue_snapshot,,,,,,W_queue,0.0
54.0,18,class_snapshot,,,truck,,,,3.0
54.0,18,class_snapshot,,,car,,,,3.0
57.0,19,queue_snapshot,,,,,,S_queue,0.0
57.0,19,queue_snapshot,,,,,,E_queue,0.0
57.0,19,queue_snapshot,,,,,,N_queue,0.0
57.0,19,queue_snapshot,,,,,,W_queue,0.0
57.0,19,class_snapshot,,,truck,,,,7.0
57.0,19,class_snapshot,,,car,,,,3.0
60.0,20,queue_snapshot,,,,,,S_queue,1.0
60.0,20,queue_snapshot,,,,,,E_queue,0.0
60.0,20,queue_snapshot,,,,,,N_queue,0.0
60.0,20,queue_snapshot,,,,,,W_queue,0.0
60.0,20,class_snapshot,,,truck,,,,6.0
60.0,20,class_snapshot,,,car,,,,5.0
63.0,21,queue_snapshot,,,,,,S_queue,0.0
63.0,21,queue_snapshot,,,,,,E_queue,0.0
63.0,21,queue_snapshot,,,,,,N_queue,0.0
63.0,21,queue_snapshot,,,,,,W_queue,0.0
63.0,21,class_snapshot,,,car,,,,4.0
63.0,21,class_snapshot,,,truck,,,,5.0
63.0,21,class_snapshot,,,class_7,,,,1.0
66.0,22,flow_cross,E_in,66.0,truck,,E_exit,,
66.0,22,queue_snapshot,,,,,,S_queue,0.0
66.0,22,queue_snapshot,,,,,,E_queue,0.0
66.0,22,queue_snapshot,,,,,,N_queue,0.0
66.0,22,queue_snapshot,,,,,,W_queue,0.0
66.0,22,class_snapshot,,,car,,,,4.0
66.0,22,class_snapshot,,,truck,,,,3.0
69.0,23,queue_snapshot,,,,,,S_queue,0.0
69.0,23,queue_snapshot,,,,,,E_queue,0.0
69.0,23,queue_snapshot,,,,,,N_queue,0.0
69.0,23,queue_snapshot,,,,,,W_queue,0.0
69.0,23,class_snapshot,,,car,,,,3.0
69.0,23,class_snapshot,,,class_5,,,,1.0
69.0,23,class_snapshot,,,truck,,,,4.0
72.0,24,queue_snapshot,,,,,,S_queue,0.0
72.0,24,queue_snapshot,,,,,,E_queue,0.0
72.0,24,queue_snapshot,,,,,,N_queue,0.0
72.0,24,queue_snapshot,,,,,,W_queue,0.0
72.0,24,class_snapshot,,,car,,,,3.0
72.0,24,class_snapshot,,,truck,,,,2.0
75.0,25,queue_snapshot,,,,,,S_queue,0.0
75.0,25,queue_snapshot,,,,,,E_queue,0.0
75.0,25,queue_snapshot,,,,,,N_queue,0.0
75.0,25,queue_snapshot,,,,,,W_queue,0.0
75.0,25,class_snapshot,,,truck,,,,5.0
78.0,26,queue_snapshot,,,,,,S_queue,0.0
78.0,26,queue_snapshot,,,,,,E_queue,0.0
78.0,26,queue_snapshot,,,,,,N_queue,0.0
78.0,26,queue_snapshot,,,,,,W_queue,0.0
78.0,26,class_snapshot,,,truck,,,,2.0
78.0,26,class_snapshot,,,class_5,,,,1.0
81.0,27,queue_snapshot,,,,,,S_queue,0.0
81.0,27,queue_snapshot,,,,,,E_queue,0.0
81.0,27,queue_snapshot,,,,,,N_queue,0.0
81.0,27,queue_snapshot,,,,,,W_queue,0.0
81.0,27,class_snapshot,,,truck,,,,2.0
81.0,27,class_snapshot,,,class_5,,,,1.0
84.0,28,queue_snapshot,,,,,,S_queue,0.0
84.0,28,queue_snapshot,,,,,,E_queue,0.0
84.0,28,queue_snapshot,,,,,,N_queue,0.0
84.0,28,queue_snapshot,,,,,,W_queue,1.0
84.0,28,class_snapshot,,,truck,,,,3.0
84.0,28,class_snapshot,,,class_5,,,,1.0
87.0,29,queue_snapshot,,,,,,S_queue,0.0
87.0,29,queue_snapshot,,,,,,E_queue,0.0
87.0,29,queue_snapshot,,,,,,N_queue,0.0
87.0,29,queue_snapshot,,,,,,W_queue,0.0
